LogLine(id=2, x=210.0, y=310.0, registeredAt=2024-07-07T23:32:42.010, webDriverId=4)
LogLine(id=1, x=200.0, y=300.0, registeredAt=2024-07-07T23:32:42.020, webDriverId=4)
LogLine(id=3, x=220.0, y=320.0, registeredAt=2024-07-07T23:32:42.040, webDriverId=4)
LogLine(id=4, x=549.6875650987415, y=412.4947923176696, registeredAt=2024-07-27T20:13:06.025821, webDriverId=4)
LogLine(id=5, x=548.7510413195064, y=424.95835416170706, registeredAt=2024-07-27T20:13:08.026130, webDriverId=4)
LogLine(id=6, x=547.1927694840106, y=437.3595331183998, registeredAt=2024-07-27T20:13:10.026701, webDriverId=4)
LogLine(id=7, x=545.0166444603104, y=449.66733269876534, registeredAt=2024-07-27T20:13:12.026377, webDriverId=4)
LogLine(id=8, x=542.2281054276611, y=461.85098981363075, registeredAt=2024-07-27T20:13:14.026869, webDriverId=4)
LogLine(id=9, x=538.8341222814015, y=473.8800516653349, registeredAt=2024-07-27T20:13:16.026365, webDriverId=4)
LogLine(id=10, x=534.8431782118447, y=485.72445186386284, registeredAt=2024-07-27T20:13:48.543451, webDriverId=4)
LogLine(id=11, x=530.2652485007213, y=497.35458557716265, registeredAt=2024-07-27T20:13:50.543725, webDriverId=4)
LogLine(id=12, x=530.2652485007213, y=497.35458557716265, registeredAt=2024-07-27T20:13:50.543725, webDriverId=4)
LogLine(id=13, x=525.1117755881692, y=508.74138352780756, registeredAt=2024-07-27T20:13:52.543985, webDriverId=4)
LogLine(id=14, x=525.1117755881692, y=508.74138352780756, registeredAt=2024-07-27T20:13:52.543985, webDriverId=4)
LogLine(id=15, x=519.3956404725932, y=519.8563846510507, registeredAt=2024-07-27T20:13:54.543137, webDriverId=4)
LogLine(id=16, x=519.3956404725932, y=519.8563846510507, registeredAt=2024-07-27T20:13:54.543137, webDriverId=4)
LogLine(id=17, x=513.1311305148764, y=530.6718072326648, registeredAt=2024-07-27T20:15:31.925793, webDriverId=4)
LogLine(id=18, x=513.1311305148764, y=530.6718072326648, registeredAt=2024-07-27T20:15:31.925793, webDriverId=4)
LogLine(id=19, x=513.1311305148764, y=530.6718072326648, registeredAt=2024-07-27T20:15:31.925793, webDriverId=4)
LogLine(id=20, x=506.3339037274196, y=541.1606183487588, registeredAt=2024-07-27T20:15:33.925411, webDriverId=4)
LogLine(id=21, x=506.3339037274196, y=541.1606183487588, registeredAt=2024-07-27T20:15:33.925411, webDriverId=4)
LogLine(id=22, x=506.3339037274196, y=541.1606183487588, registeredAt=2024-07-27T20:15:33.925411, webDriverId=4)
LogLine(id=23, x=506.3339037274196, y=541.1606183487588, registeredAt=2024-07-27T20:15:33.925411, webDriverId=4)
LogLine(id=24, x=499.0209496372639, y=551.2966014340099, registeredAt=2024-07-27T20:15:35.925143, webDriverId=4)
LogLine(id=25, x=499.0209496372639, y=551.2966014340099, registeredAt=2024-07-27T20:15:35.925143, webDriverId=4)
LogLine(id=26, x=499.0209496372639, y=551.2966014340099, registeredAt=2024-07-27T20:15:35.925143, webDriverId=4)
LogLine(id=27, x=499.0209496372639, y=551.2966014340099, registeredAt=2024-07-27T20:15:35.925143, webDriverId=4)
LogLine(id=28, x=491.2105468211221, y=561.0544218094228, registeredAt=2024-07-27T20:15:37.925291, webDriverId=4)
LogLine(id=29, x=491.2105468211221, y=561.0544218094228, registeredAt=2024-07-27T20:15:37.925291, webDriverId=4)
LogLine(id=30, x=491.2105468211221, y=561.0544218094228, registeredAt=2024-07-27T20:15:37.925291, webDriverId=4)
LogLine(id=31, x=491.2105468211221, y=561.0544218094228, registeredAt=2024-07-27T20:15:37.925291, webDriverId=4)
LogLine(id=32, x=482.9222172184552, y=570.4096900058336, registeredAt=2024-07-27T20:15:39.925422, webDriverId=4)
LogLine(id=33, x=482.9222172184552, y=570.4096900058336, registeredAt=2024-07-27T20:15:39.925422, webDriverId=4)
LogLine(id=34, x=482.9222172184552, y=570.4096900058336, registeredAt=2024-07-27T20:15:39.925422, webDriverId=4)
LogLine(id=35, x=482.9222172184552, y=570.4096900058336, registeredAt=2024-07-27T20:15:39.925422, webDriverId=4)
LogLine(id=36, x=474.17667733679133, y=579.3390227248807, registeredAt=2024-07-27T20:15:41.926432, webDriverId=4)
LogLine(id=37, x=474.17667733679133, y=579.3390227248807, registeredAt=2024-07-27T20:15:41.926432, webDriverId=4)
LogLine(id=38, x=474.17667733679133, y=579.3390227248807, registeredAt=2024-07-27T20:15:41.926432, webDriverId=4)
LogLine(id=39, x=474.17667733679133, y=579.3390227248807, registeredAt=2024-07-27T20:15:41.926432, webDriverId=4)
LogLine(id=40, x=464.9957864712455, y=587.8201012850732, registeredAt=2024-07-27T20:16:50.202756, webDriverId=4)
LogLine(id=41, x=464.9957864712455, y=587.8201012850732, registeredAt=2024-07-27T20:16:50.202756, webDriverId=4)
LogLine(id=42, x=464.9957864712455, y=587.8201012850732, registeredAt=2024-07-27T20:16:50.202756, webDriverId=4)
LogLine(id=43, x=464.9957864712455, y=587.8201012850732, registeredAt=2024-07-27T20:16:50.202756, webDriverId=4)
LogLine(id=44, x=455.40249206766606, y=595.8317274068709, registeredAt=2024-07-27T20:16:52.202815, webDriverId=4)
LogLine(id=45, x=455.40249206766606, y=595.8317274068709, registeredAt=2024-07-27T20:16:52.202815, webDriverId=4)
LogLine(id=46, x=455.40249206766606, y=595.8317274068709, registeredAt=2024-07-27T20:16:52.202815, webDriverId=4)
LogLine(id=47, x=455.40249206766606, y=595.8317274068709, registeredAt=2024-07-27T20:16:52.202815, webDriverId=4)
LogLine(id=48, x=455.40249206766606, y=595.8317274068709, registeredAt=2024-07-27T20:16:52.202815, webDriverId=4)
LogLine(id=49, x=445.42077236597083, y=603.3538761973434, registeredAt=2024-07-27T20:16:54.203201, webDriverId=4)
LogLine(id=50, x=445.42077236597083, y=603.3538761973434, registeredAt=2024-07-27T20:16:54.203201, webDriverId=4)
LogLine(id=51, x=445.42077236597083, y=603.3538761973434, registeredAt=2024-07-27T20:16:54.203201, webDriverId=4)
LogLine(id=52, x=445.42077236597083, y=603.3538761973434, registeredAt=2024-07-27T20:16:54.203201, webDriverId=4)
LogLine(id=53, x=445.42077236597083, y=603.3538761973434, registeredAt=2024-07-27T20:16:54.203201, webDriverId=4)
